Event Details,Keywords,College Name
Science Symposium,"Science, Symposium, Education",Greenfield College
Literary Conference,"Literature, Conference, Arts",Riverside University
Math Olympiad,"Mathematics, Olympiad, Contest",Horizon Institute
Engineering Workshop,"Engineering, Workshop, Technology",TechHub University
History Lecture,"History, Lecture, Education",Heritage College
Art Exhibition,"Art, Exhibition, Creativity",Palette Arts Institute
Music Festival,"Music, Festival, Performance",Melody University
Career Fair,"Career, Fair, Opportunities",Opportunity College
Debate Competition,"Debate, Competition, Speaking",Eloquent Institute
Health Conference,"Health, Conference, Medicine",Wellness University
Coding Hackathon,"Coding, Hackathon, Technology",CodeCraft Institute
Business Seminar,"Business, Seminar, Commerce",Commerce College
Environmental Talk,"Environment, Talk, Education",EcoAware Institute
Film Screening,"Film, Screening, Media",Cinematic University
Sports Meet,"Sports, Meet, Athletics",SportsStar College
Dance Workshop,"Dance, Workshop, Arts",Rhythmic Institute
Psychology Symposium,"Psychology, Symposium, Education",MindWorks University
Astronomy Lecture,"Astronomy, Lecture, Science",Stellar College
Language Workshop,"Language, Workshop, Education",Linguo Institute
Tech Conference,"Technology, Conference, Innovation",TechNest University
Literature Symposium,"Literature, Symposium, Arts",WordSmith College
Robotics Competition,"Robotics, Competition, Technology",RoboGenius Institute
Astronomy Camp,"Astronomy, Camp, Science",AstroCamp University
Culinary Workshop,"Culinary, Workshop, Food",Gourmet Institute
Economics Conference,"Economics, Conference, Finance",EconoLearn University
Fashion Show,"Fashion, Show, Style",TrendSet College
Language Seminar,"Language, Seminar, Education",LinguaLearn Institute
Health Fair,"Health, Fair, Wellness",Vitality University
Coding Seminar,"Coding, Seminar, Technology",CodeMaster Institute
Environmental Expo,"Environment, Expo, Sustainability",GreenEarth College
Theater Festival,"Theater, Festival, Arts",Dramatics University
Business Hackathon,"Business, Hackathon, Commerce",BizTech Institute
Music Workshop,"Music, Workshop, Performance",Harmony College
Psychology Conference,"Psychology, Conference, Education",PsycheSense University
Science Fair,"Science, Fair, Education",SciTech Institute
Writing Retreat,"Writing, Retreat, Literature",PenCraft College
Film Festival,"Film, Festival, Media",CineFiesta University
Leadership Summit,"Leadership, Summit, Skills",LeadX Institute
Dance Competition,"Dance, Competition, Arts",GrooveMasters College
History Workshop,"History, Workshop, Education",PastLearn Institute
Tech Symposium,"Technology, Symposium, Innovation",TechWave University
Literature Workshop,"Literature, Workshop, Education",Prose Institute
Art Hackathon,"Art, Hackathon, Creativity",Artistry College
Medical Conference,"Medical, Conference, Health",MedConnect University
Poetry Slam,"Poetry, Slam, Performance",Poetica Institute
Finance Seminar,"Finance, Seminar, Economics",WealthLearn College
Dance Showcase,"Dance, Showcase, Performance",DanceFusion University
Coding Bootcamp,"Coding, Bootcamp, Technology",CodeLaunch Institute
Science Camp,"Science, Camp, Education",SciQuest College
Photography Exhibition,"Photography, Exhibition, Arts",PixelCraft University
Career Workshop,"Career, Workshop, Skills",CareerBoost Institute
Fashion Workshop,"Fashion, Workshop, Style",VogueLearn College
Food Festival,"Food, Festival, Culinary",FlavorFiesta University
Marketing Conference,"Marketing, Conference, Business",MarketEdge Institute
Film Workshop,"Film, Workshop, Media",FilmCraft College
Debate Symposium,"Debate, Symposium, Speaking",EloquentLearn University
Psychology Workshop,"Psychology, Workshop, Education",MindWorks College
Music Competition,"Music, Competition, Performance",MelodyQuest Institute
Environmental Fair,"Environment, Fair, Sustainability",EcoAware College
Writing Conference,"Writing, Conference, Literature",PenMasters University
Tech Hackathon,"Technology, Hackathon, Innovation",CodeStorm University
Literature Conference,"Literature, Conference, Arts",LitCon Institute
Art Exhibition,"Art, Exhibition, Creativity",ArtScape College
Medical Workshop,"Medical, Workshop, Health",MediLearn University
Spelling Bee,"Spelling, Bee, Competition",SpellMaster Institute
Finance Forum,"Finance, Forum, Business",FinEx College
Dance Workshop,"Dance, Workshop, Performance",RhythmZone University
Coding Summit,"Coding, Summit, Technology",CodeSummit Institute
Science Fair,"Science, Fair, Education",SciQuest University
Photography Workshop,"Photography, Workshop, Arts",SnapCraft College
Career Expo,"Career, Expo, Opportunities",CareerFocus University
Fashion Exhibition,"Fashion, Exhibition, Style",ModaShow Institute
Food Workshop,"Food, Workshop, Culinary",TasteBuds College
Marketing Workshop,"Marketing, Workshop, Business",MarketPro University
Film Screening,"Film, Screening, Media",CineScope Institute
Debate Tournament,"Debate, Tournament, Speaking",Eloquence College
Psychology Symposium,"Psychology, Symposium, Education",PsycheLearn University
Music Festival,"Music, Festival, Performance",HarmonyQuest Institute
Environmental Workshop,"Environment, Workshop, Sustainability",GreenAware College
Writing Seminar,"Writing, Seminar, Literature",PenInsight University
